Activity_1-7747           | [001] | 3248.621601  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
Activity_2-7748           | [000] | 3248.621681  | sched_wakeup    | ktimers/0:17 [98] CPU:000 
Activity_2-7748           | [000] | 3248.621681  | sched_wakeup    | rcuc/0:21 [98] CPU:000 
Activity_2-7748           | [000] | 3248.621684  | sched_switch    | Activity_2:7748 [120] R ==> ktimers/0:17 [98] 
kworker/0:1-7124          | [000] | 3248.621702  | sched_switch    | kworker/0:1:7124 [120] I ==> Activity_2:7748 [120] 
irq/9-acpi-103            | [001] | 3248.621730  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.621774  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.621775  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.621911  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.621984  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.621985  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.622111  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.622156  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.622156  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.622297  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.622429  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.622430  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.622563  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.622628  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.622629  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.622757  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.622802  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.622802  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.622937  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.622997  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.622998  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.623124  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.623437  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.623438  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.623577  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.623761  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.623762  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.623889  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.623934  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.623935  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.624084  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_2-7748           | [000] | 3248.624105  | sched_wakeup    | ktimers/0:17 [98] CPU:000 
Activity_2-7748           | [000] | 3248.624106  | sched_switch    | Activity_2:7748 [120] R ==> ktimers/0:17 [98] 
ktimers/0-17              | [000] | 3248.624110  | sched_switch    | ktimers/0:17 [98] S ==> Activity_2:7748 [120] 
Activity_1-7747           | [001] | 3248.624151  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.624152  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.624279  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.624323  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.624324  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.624466  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.624542  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.624543  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.624670  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_2-7748           | [000] | 3248.624680  | sched_wakeup    | ktimers/0:17 [98] CPU:000 
Activity_2-7748           | [000] | 3248.624682  | sched_switch    | Activity_2:7748 [120] R ==> ktimers/0:17 [98] 
ktimers/0-17              | [000] | 3248.624684  | sched_switch    | ktimers/0:17 [98] S ==> Activity_2:7748 [120] 
Activity_1-7747           | [001] | 3248.624714  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.624715  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.624848  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.624991  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.624991  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.625118  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.625163  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.625163  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.625315  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.625390  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.625391  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.625518  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.625562  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.625563  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
Activity_2-7748           | [000] | 3248.625684  | sched_switch    | Activity_2:7748 [120] R ==> kworker/0:1:7124 [120] 
kworker/0:1-7124          | [000] | 3248.625686  | sched_switch    | kworker/0:1:7124 [120] I ==> Activity_2:7748 [120] 
irq/9-acpi-103            | [001] | 3248.625716  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.625725  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.625726  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.625839  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.626065  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.626066  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.626213  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.626261  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.626262  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.626388  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.626433  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.626434  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.626581  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
Activity_1-7747           | [001] | 3248.626629  | sched_wakeup    | irq/9-acpi:103 [49] CPU:001 
Activity_1-7747           | [001] | 3248.626630  | sched_switch    | Activity_1:7747 [120] R ==> irq/9-acpi:103 [49] 
irq/9-acpi-103            | [001] | 3248.626758  | sched_switch    | irq/9-acpi:103 [49] S ==> Activity_1:7747 [120] 
