      Activity_2-4275  [001]   207.981317: print:                tracing_mark_write: --- COMPUTATION_END: Activity_2 ---
      Activity_2-4275  [001]   207.981324: sched_wakeup:         kworker/u16:6:554 [120] CPU:002
      Activity_2-4275  [001]   207.981328: sched_wakeup:         kworker/u16:1:94 [120] CPU:004
      Activity_2-4275  [001]   207.981332: sched_switch:         Activity_2:4275 [80] S ==> ktimers/1:31 [98]
   kworker/u16:6-554   [002]   208.087614: sched_wakeup:         Activity_1:4274 [98] CPU:000
   kworker/u16:6-554   [002]   208.087619: sched_wakeup:         Activity_2:4275 [80] CPU:001
          <idle>-0     [000]   208.087622: sched_switch:         swapper/0:0 [120] R ==> Activity_1:4274 [98]
          <idle>-0     [001]   208.087635: sched_switch:         swapper/1:0 [120] R ==> Activity_2:4275 [80]
      Activity_1-4274  [000]   208.087660: sched_switch:         Activity_1:4274 [98] D ==> swapper/0:0 [120]
          app09b-4273  [006]   208.087664: sched_wakeup:         Activity_1:4274 [98] CPU:000
          <idle>-0     [000]   208.087668: sched_switch:         swapper/0:0 [120] R ==> Activity_1:4274 [98]
      Activity_1-4274  [000]   208.087685: sched_wakeup:         Activity_2:4275 [80] CPU:001
      Activity_1-4274  [000]   208.087696: sched_wakeup:         rcuc/0:21 [98] CPU:000
      Activity_1-4274  [000]   208.087705: sched_wakeup:         ksoftirqd/0:16 [120] CPU:000
      Activity_2-4275  [001]   208.087706: sched_wakeup:         ksoftirqd/1:32 [120] CPU:001
      Activity_1-4274  [000]   208.087741: sched_switch:         Activity_1:4274 [98] X ==> rcuc/0:21 [98]
      Activity_2-4275  [001]   208.087749: sched_switch:         Activity_2:4275 [80] X ==> ksoftirqd/1:32 [120]
