
[!] Lettura batch da file: trace_results_app09c_20260318_214345/trace_colonne.txt

================== SCHEDULATORE CRONOLOGICO ==================
TEMPO (s)       | EVENTO
2375.695469     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 806.597000 ms)
2375.695617     | [DISPATCH] Task Activity_1 prende la CPU
2375.695767     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 806.747000 ms)
2375.695922     | [DISPATCH] Task Activity_1 prende la CPU
2375.695991     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 806.816000 ms)
2375.696127     | [DISPATCH] Task Activity_1 prende la CPU
2375.696173     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 806.862000 ms)
2375.696341     | [DISPATCH] Task Activity_1 prende la CPU
2375.696374     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 806.895000 ms)
2375.696718     | [DISPATCH] Task Activity_1 prende la CPU
2375.696761     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 806.938000 ms)
2375.696919     | [DISPATCH] Task Activity_1 prende la CPU
2375.697077     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 807.096000 ms)
2375.697211     | [DISPATCH] Task Activity_1 prende la CPU
2375.697258     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 807.143000 ms)
2375.697405     | [DISPATCH] Task Activity_1 prende la CPU
2375.697498     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 807.236000 ms)
2375.697634     | [DISPATCH] Task Activity_1 prende la CPU
2375.697680     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 807.282000 ms)
2375.697820     | [DISPATCH] Task Activity_1 prende la CPU
2375.697929     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 807.391000 ms)
2375.698065     | [DISPATCH] Task Activity_1 prende la CPU
2375.698112     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 807.438000 ms)
2375.698264     | [DISPATCH] Task Activity_1 prende la CPU
2375.698417     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 807.591000 ms)
2375.698554     | [DISPATCH] Task Activity_1 prende la CPU
2375.698600     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 807.637000 ms)
2375.698714     | [DISPATCH] Task Activity_1 prende la CPU
2375.698872     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 807.795000 ms)
