
[!] Stream Eventi Live in esecuzione...

================== SCHEDULATORE CRONOLOGICO ==================
TEMPO (s)       | EVENTO
---------------------------------------------------------------------------

..............................................................
1002.244299     | [NUOVO PERIODO] Task Activity_1 Inizia [Period=1800 ms, Deadline=1800]

..............................................................
1002.557827     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.557828     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.557956     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.558001     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.558001     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.558168     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.558349     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.558350     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.558486     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.558532     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.558532     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.558671     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.558756     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.558756     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.558884     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.558929     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.558930     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.559086     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.559227     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.559228     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.559392     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
1002.559437     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
1002.559439     | [PREEMPT]       Task Activity_2 interrotto temporaneamente.
1002.559573     | [CPU DISPATCH]  Task Activity_2 entra in esecuzione fisica.
