
================== SCHEDULATORE CRONOLOGICO ==================
TEMPO (s)       | EVENTO
3184.077630     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.077862     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.078312     | [FINE LOGICA]   Task Activity_2 completa l'attivita' computazionale.
3184.078386     | [WAKEUP SCED.]  Task Activity_2 viene svegliato dal kernel.
3184.078397     | [SLEEP SCED.]   Task Activity_2 va a riposo. Costo Reale: 146.794000 ms
3184.085694     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.085702     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.086366     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.086419     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.086420     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.086452     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.086689     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.086690     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.086920     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.090195     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.090196     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.090440     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.095262     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.095263     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.095748     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.133256     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.133258     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.133529     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.197681     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.197682     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.197971     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.300089     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.300090     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.300377     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.301017     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.301018     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.301250     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.301423     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.301424     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.301691     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.302190     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.302191     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.302495     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.302504     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.302505     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.302571     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
3184.302910     | [WAKEUP SCED.]  Task Activity_1 viene svegliato dal kernel.
3184.302911     | [PREEMPT]       Task Activity_1 interrotto temporaneamente.
3184.303180     | [CPU DISPATCH]  Task Activity_1 entra in esecuzione fisica.
