Activity_1-22836          | [000] | 81539.479311 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81539.479615 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81539.580436 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81539.580440 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81539.580735 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81539.683902 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81539.683902 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81539.684155 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_2-22837          | [001] | 81539.718506 | sched_wakeup    | kworker/1:1:14636 [120] CPU:001 
Activity_1-22836          | [000] | 81539.785237 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81539.785238 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81539.785528 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_2-22837          | [001] | 81539.788298 | sched_switch    | Activity_2:22837 [80] S ==> kworker/1:1:14636 [120] 
Activity_1-22836          | [000] | 81539.887630 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81539.887632 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81539.887936 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_1-22836          | [000] | 81539.990034 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81539.990036 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81539.990322 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
<idle>-0                  | [001] | 81540.056889 | sched_wakeup    | Activity_2:22837 [80] CPU:001 
<idle>-0                  | [001] | 81540.056895 | sched_switch    | swapper/1:0 [120] R ==> Activity_2:22837 [80] 
Activity_1-22836          | [000] | 81540.092441 | sched_wakeup    | irq/171-rtw88_p:605 [49] CPU:000 
Activity_1-22836          | [000] | 81540.092443 | sched_switch    | Activity_1:22836 [98] R ==> irq/171-rtw88_p:605 [49] 
irq/171-rtw88_p-605       | [000] | 81540.092715 | sched_switch    | irq/171-rtw88_p:605 [49] S ==> Activity_1:22836 [98] 
Activity_2-22837          | [001] | 81540.103512 | sched_wakeup    | kworker/1:1:14636 [120] CPU:001 
