cpus=8
          app10f-25503 [002]  7767.712323: sched_switch:         trace-cmd:25503 [120] D ==> swapper/2:0 [120]
     migration/5-47    [005]  7767.732368: sched_switch:         migration/5:47 [0] S ==> swapper/5:0 [120]
          <idle>-0     [003]  7767.732375: sched_switch:         swapper/3:0 [120] R ==> VizCompositorTh:6642 [120]
 VizCompositorTh-6642  [003]  7767.732387: sched_switch:         VizCompositorTh:6642 [120] S ==> swapper/3:0 [120]
          <idle>-0     [004]  7767.733336: sched_wakeup:         kworker/u32:2:22026 [120] CPU:004
          <idle>-0     [004]  7767.733337: sched_switch:         swapper/4:0 [120] R ==> kworker/u32:2:22026 [120]
   kworker/u32:2-22026 [004]  7767.733388: sched_switch:         kworker/u32:2:22026 [120] I ==> swapper/4:0 [120]
          <idle>-0     [007]  7767.733417: sched_wakeup:         rcu_tasks_trace:67 [120] CPU:007
          <idle>-0     [007]  7767.733419: sched_switch:         swapper/7:0 [120] R ==> rcu_tasks_trace:67 [120]
 rcu_tasks_trace-67    [007]  7767.733428: sched_switch:         rcu_tasks_trace:67 [120] I ==> swapper/7:0 [120]
          <idle>-0     [002]  7767.735338: sched_wakeup:         rcu_preempt:15 [120] CPU:002
          <idle>-0     [002]  7767.735341: sched_switch:         swapper/2:0 [120] R ==> rcu_preempt:15 [120]
     rcu_preempt-15    [002]  7767.735345: sched_switch:         rcu_preempt:15 [120] I ==> swapper/2:0 [120]
          <idle>-0     [003]  7767.735471: sched_wakeup:         gitkraken:6668 [120] CPU:003
          <idle>-0     [003]  7767.735475: sched_switch:         swapper/3:0 [120] R ==> gitkraken:6668 [120]
          <idle>-0     [002]  7767.735781: sched_wakeup:         ThreadPoolForeg:6673 [120] CPU:002
          <idle>-0     [002]  7767.735783: sched_switch:         swapper/2:0 [120] R ==> ThreadPoolForeg:6673 [120]
          <idle>-0     [004]  7767.735855: sched_wakeup:         libuv-worker:6747 [120] CPU:004
          <idle>-0     [004]  7767.735855: sched_switch:         swapper/4:0 [120] R ==> libuv-worker:6747 [120]
    libuv-worker-6747  [004]  7767.735871: sched_switch:         libuv-worker:6747 [120] S ==> swapper/4:0 [120]
          <idle>-0     [007]  7767.735906: sched_wakeup:         Chrome_ChildIOT:6674 [120] CPU:007
          <idle>-0     [007]  7767.735908: sched_switch:         swapper/7:0 [120] R ==> Chrome_ChildIOT:6674 [120]
          <idle>-0     [004]  7767.735963: sched_wakeup:         Chrome_IOThread:6540 [120] CPU:004
          <idle>-0     [004]  7767.735963: sched_switch:         swapper/4:0 [120] R ==> Chrome_IOThread:6540 [120]
 Chrome_ChildIOT-6674  [007]  7767.735986: sched_switch:         Chrome_ChildIOT:6674 [120] S ==> swapper/7:0 [120]
          <idle>-0     [007]  7767.736021: sched_wakeup:         gitkraken:6678 [120] CPU:007
          <idle>-0     [007]  7767.736022: sched_switch:         swapper/7:0 [120] R ==> gitkraken:6678 [120]
       gitkraken-6678  [007]  7767.736038: sched_switch:         gitkraken:6678 [120] S ==> swapper/7:0 [120]
          <idle>-0     [005]  7767.736038: sched_wakeup:         gitkraken:6523 [120] CPU:005
          <idle>-0     [005]  7767.736039: sched_switch:         swapper/5:0 [120] R ==> gitkraken:6523 [120]
 Chrome_IOThread-6540  [004]  7767.736047: sched_switch:         Chrome_IOThread:6540 [120] S ==> swapper/4:0 [120]
          <idle>-0     [007]  7767.736108: sched_wakeup:         gitkraken:6678 [120] CPU:007
          <idle>-0     [007]  7767.736108: sched_switch:         swapper/7:0 [120] R ==> gitkraken:6678 [120]
       gitkraken-6678  [007]  7767.736112: sched_switch:         gitkraken:6678 [120] S ==> swapper/7:0 [120]
       gitkraken-6668  [003]  7767.736115: sched_switch:         gitkraken:6668 [120] S ==> swapper/3:0 [120]
          <idle>-0     [003]  7767.736193: sched_wakeup:         mosquitto:2517 [120] CPU:003
          <idle>-0     [003]  7767.736194: sched_switch:         swapper/3:0 [120] R ==> mosquitto:2517 [120]
       mosquitto-2517  [003]  7767.736205: sched_switch:         mosquitto:2517 [120] S ==> swapper/3:0 [120]
          <idle>-0     [007]  7767.736781: sched_wakeup:         gitkraken:6587 [120] CPU:007
          <idle>-0     [007]  7767.736786: sched_switch:         swapper/7:0 [120] R ==> gitkraken:6587 [120]
       gitkraken-6587  [007]  7767.736793: sched_switch:         gitkraken:6587 [120] S ==> swapper/7:0 [120]
          <idle>-0     [003]  7767.737712: sched_switch:         swapper/3:0 [120] R ==> git:25507 [120]
             git-25506 [006]  7767.737712: sched_switch:         git:25506 [120] S ==> swapper/6:0 [120]
          <idle>-0     [006]  7767.737970: sched_wakeup:         git:25506 [120] CPU:006
          <idle>-0     [006]  7767.737972: sched_switch:         swapper/6:0 [120] R ==> git:25506 [120]
             git-25506 [006]  7767.737999: sched_switch:         git:25506 [120] S ==> swapper/6:0 [120]
 ThreadPoolForeg-6673  [002]  7767.738611: sched_switch:         ThreadPoolForeg:6673 [120] S ==> swapper/2:0 [120]
             git-25507 [003]  7767.739092: sched_switch:         git:25507 [120] S ==> swapper/3:0 [120]
          <idle>-0     [002]  7767.739101: sched_switch:         swapper/2:0 [120] R ==> git:25508 [120]
          <idle>-0     [003]  7767.739279: sched_wakeup:         git:25507 [120] CPU:003
          <idle>-0     [003]  7767.739280: sched_switch:         swapper/3:0 [120] R ==> git:25507 [120]
             git-25507 [003]  7767.739295: sched_switch:         git:25507 [120] S ==> swapper/3:0 [120]
          <idle>-0     [006]  7767.739338: sched_wakeup:         rcu_preempt:15 [120] CPU:006
          <idle>-0     [006]  7767.739339: sched_switch:         swapper/6:0 [120] R ==> rcu_preempt:15 [120]
     rcu_preempt-15    [006]  7767.739344: sched_switch:         rcu_preempt:15 [120] I ==> swapper/6:0 [120]
          <idle>-0     [003]  7767.740281: sched_wakeup:         git:25507 [120] CPU:003
             git-25508 [002]  7767.740281: sched_switch:         git:25508 [120] Z ==> swapper/2:0 [120]
          <idle>-0     [003]  7767.740285: sched_switch:         swapper/3:0 [120] R ==> git:25507 [120]
