
[!] In attesa dello stream /sys/kernel/debug/tracing/trace_pipe...

================== SCHEDULATORE CRONOLOGICO ==================
TEMPO (s)       | EVENTO
2232.387113     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 961.170000 ms)
2232.387266     | [DISPATCH] Task Activity_1 prende la CPU
2232.387436     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 961.340000 ms)
2232.387552     | [DISPATCH] Task Activity_1 prende la CPU
2232.387599     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 961.387000 ms)
2232.387738     | [DISPATCH] Task Activity_1 prende la CPU
2232.387785     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 961.434000 ms)
2232.387931     | [DISPATCH] Task Activity_1 prende la CPU
2232.388003     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 961.506000 ms)
2232.388152     | [DISPATCH] Task Activity_1 prende la CPU
2232.388199     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 961.553000 ms)
2232.388408     | [DISPATCH] Task Activity_1 prende la CPU
2232.388456     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 961.601000 ms)
2232.388590     | [DISPATCH] Task Activity_1 prende la CPU
2232.388872     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 961.883000 ms)
2232.389019     | [DISPATCH] Task Activity_1 prende la CPU
2232.389067     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 961.931000 ms)
2232.389225     | [DISPATCH] Task Activity_1 prende la CPU
2232.389492     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 962.198000 ms)
2232.389631     | [DISPATCH] Task Activity_1 prende la CPU
2232.389679     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 962.246000 ms)
2232.389836     | [DISPATCH] Task Activity_1 prende la CPU
2232.389988     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 962.398000 ms)
2232.390136     | [DISPATCH] Task Activity_1 prende la CPU
2232.390184     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 962.446000 ms)
2232.390335     | [DISPATCH] Task Activity_1 prende la CPU
2232.390502     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 962.613000 ms)
2232.390678     | [DISPATCH] Task Activity_1 prende la CPU
2232.390727     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 962.662000 ms)
2232.390882     | [DISPATCH] Task Activity_1 prende la CPU
2232.390930     | [PREEMPT]  Task Activity_1 interrotto temporaneamente (Costo accumulato: 962.710000 ms)
2232.391061     | [DISPATCH] Task Activity_1 prende la CPU
